gamma_mr,gamma_mc,ie_over_iw,in_over_ie,d_ie_iw_dlog_mr,d_ie_iw_dlog_mc,d_in_ie_dlog_mr,d_in_ie_dlog_mc,det_j,abs_det_j,cond_j,good_invertibility,good_condition,good_both
0.0126,14.6,3.720276137860965,1.0730937321227407,-0.012490324591999757,0.4818724781353511,-0.001422979245482875,-0.20497559290032807,0.0032459062241187034,0.0032459062241187034,84.51744685265628,1,0,0
0.0126,19.3,3.785304798961577,1.0517505032949448,-0.013974987637572557,0.48302603000500827,-0.0012624170446171948,-0.15131547883795926,0.0027244122394059515,0.0027244122394059515,94.10413704305574,1,0,0
0.0126,25.6,3.8380799601453877,1.0361898373621945,-0.01575295070487225,0.38937842207522894,-0.001184437330582833,-0.10832148071639564,0.00216757728483349,0.00216757728483349,75.46209964574008,1,0,0
0.0126,33.9,3.88056326643916,1.0252504774513123,-0.017087234078196248,0.2077662401605513,-0.001138620691682505,-0.07548742138154266,0.001526438179185736,0.001526438179185736,32.173584360630144,1,0,0
0.0126,45.0,3.8889769854821963,1.0176974913694203,-0.01978599500255949,-0.11309942664494835,-0.0011880902758868604,-0.05118633031483479,0.0008784001468034381,0.0008784001468034381,17.936523831932423,1,0,0
0.0126,59.6,3.852848640827992,1.012707443209957,-0.02158544495600731,-0.4661827200259358,-0.0012536481506194113,-0.03340189776621956,0.0001365657208476747,0.0001365657208476747,1602.9603310264463,1,0,0
0.0126,79.1,3.7747790157686882,1.0095152298963477,-0.02291380960369964,-0.6350726670224475,-0.0013456194603584518,-0.02596768488689998,-0.00025954755213985386,0.00025954755213985386,1558.5517819504323,1,0,0
0.0168,0.0126,3.8908787361714325,1.7748815603696697,-0.025989384353184257,-0.00855870029786525,-0.01629667420582828,-0.009102249313794506,9.708350551507761e-05,9.708350551507761e-05,11.211717852148332,1,0,0
0.0168,0.0168,3.889809422969208,1.7737443368401105,-0.02571337306076616,-0.010278497629109857,-0.016259063281479143,-0.010693540959802007,0.00010784826464974191,0.00010784826464974191,10.526723261227918,1,0,0
0.0168,0.0222,3.88835040635473,1.7722511371862049,-0.025478148915082974,-0.013563208425428927,-0.016130513000757855,-0.014187299471493615,0.00014268461879922252,0.00014268461879922252,8.961354106071537,1,1,1
0.0168,0.0295,3.8864930457918727,1.7702753614546793,-0.02556344693060868,-0.01733867741775038,-0.015935890100312475,-0.01854927315862771,0.00019787610217790377,0.00019787610217790377,7.714410552998384,1,1,1
0.0168,0.0391,3.8840881470806314,1.7676912846874666,-0.025701408143932146,-0.02267728315345515,-0.016108778142399863,-0.024439125913980873,0.0002628166266047802,0.0002628166266047802,7.598442158463505,1,1,1
0.0168,0.0518,3.8809482744532544,1.7642998059178125,-0.025695715571007447,-0.029734380287243144,-0.016207085298771046,-0.032176690592634824,0.0003448954518632095,0.0003448954518632095,8.11819327803951,1,1,1
0.0168,0.0687,3.876809766078608,1.7598150750185568,-0.02536396031996858,-0.03892065451902019,-0.015882803955513603,-0.04234178786641393,0.00045578630177437786,0.00045578630177437786,9.112206674715564,1,1,1
0.0168,0.091,3.871423937544984,1.7539382778828416,-0.025095831288673574,-0.05031894251745635,-0.015583454439765316,-0.05516581772696336,0.0006002891063996396,0.0006002891063996396,10.647418575386267,1,0,0
0.0168,0.121,3.864439929212609,1.7462537374442382,-0.024852827861534466,-0.06520401392059326,-0.015561326582026745,-0.07219573867429345,0.0007796073105311718,0.0007796073105311718,13.166106464085683,1,0,0
0.0168,0.16,3.8554438297291522,1.736244648020364,-0.024416048994202442,-0.08398820591245074,-0.015260067163190906,-0.09420227976455833,0.0010183818149571157,0.0010183818149571157,16.393636002148785,1,0,0
0.0168,0.212,3.8439845604569847,1.7233107259907827,-0.02390327631846178,-0.10595206182954252,-0.01491745157353613,-0.12085303797755412,0.0013082488092445248,0.0013082488092445248,20.30252598042086,1,0,0
0.0168,0.281,3.8295294030022684,1.706685646116001,-0.023257660996420997,-0.13200356070600525,-0.014471573191155697,-0.15393490804550153,0.0016698667165873946,0.0016698667165873946,25.034656096374935,1,0,0
0.0168,0.373,3.811594454599822,1.6855392602815282,-0.02246912031683827,-0.1622538323332974,-0.01391981622963427,-0.1947408943978637,0.002117113058200905,0.002117113058200905,30.645439715106907,1,0,0
