gamma_mr,gamma_mc,i_east,i_north,ie_over_in
0.0256,32.4,0.04881570292314328,0.05257440541505854,0.9285069900031874
0.0256,39.1,0.05130194894229732,0.05486657061674195,0.9350310829640786
0.0256,47.1,0.05398417066379283,0.05740181111578741,0.9404611041783904
0.0256,56.9,0.05638909370999134,0.05959118154810063,0.9462657434384877
0.0256,68.7,0.05904462488768269,0.06210980783512213,0.9506489706814689
0.0256,82.90000000000001,0.06146156231745917,0.06435485881366342,0.9550415221237349
0.0256,100,0.06345152958175591,0.06611130493342249,0.9597682218745326
0.0309,0.01,0.02040918048912231,0.03391734282738657,0.601732883173941
0.0309,0.0121,0.02041593121573045,0.03391271271370866,0.6020140997885329
0.0309,0.0146,0.02042605408842518,0.03390870002024908,0.6023838742336765
0.0309,0.0176,0.02043475163111733,0.03390111932631787,0.6027751306504378
0.0309,0.0212,0.02044872406104885,0.03389477192709402,0.6033002406693587
0.0309,0.0256,0.02046234862953521,0.03388462902290884,0.6038829174048489
0.0309,0.0309,0.02048131551543643,0.03387449220909199,0.604623543550542
0.0309,0.0373,0.02050597592086547,0.03386368041755431,0.6055448098971411
0.0309,0.045,0.02053360639852384,0.03384937248530281,0.6066170475520456
0.0309,0.0543,0.02056606768297461,0.03383166770993176,0.6078939962199131
0.0309,0.0655,0.0206040567323124,0.03380980995602943,0.6094106047655556
0.0309,0.0791,0.02064940635956761,0.03378369713103869,0.6112239959846201
0.0309,0.0954,0.02070360797246374,0.03375271784709467,0.6133908405911034
0.0309,0.115,0.02076830794105558,0.03371612761298452,0.6159754815098467
0.0309,0.139,0.02084538428570902,0.0336731116997219,0.6190513211727082
0.0309,0.168,0.02093701682004063,0.03362285997107407,0.6227018414867997
0.0309,0.202,0.02104567546231277,0.03356459029196956,0.6270201804712037
0.0309,0.244,0.02117409624452899,0.03349761560108933,0.6321075654065486
0.0309,0.295,0.02132535168507576,0.03342152261962043,0.6380724160232157
0.0309,0.356,0.02150278244969431,0.03333631735239197,0.645025730418643
0.0309,0.429,0.0217099972240633,0.03324268506589136,0.653075922749057
0.0309,0.518,0.02195081995436023,0.03314231617277903,0.6623200333955301
0.0309,0.625,0.02222925389213823,0.03303830996362152,0.6728326575001826
0.0309,0.754,0.02254944493501817,0.03293564000100439,0.6846517916254402
0.0309,0.91,0.02291566784908513,0.03284163582058961,0.6977626807102728
0.0309,1.1,0.02334365975349239,0.03278960900051282,0.7119224798663289
0.0309,1.33,0.02380414662571489,0.03272292007120438,0.7274456733664837
