gamma_mr,gamma_mc,i_east,i_north,ie_over_in
0.0146,0.0146,0.02047884222836231,0.03420933571038309,0.5986331451080076
0.0146,0.0176,0.02049027996254247,0.03420318086651861,0.5990752743877206
0.0146,0.0212,0.02050379618221919,0.03419610658557302,0.5995944635074194
0.0146,0.0256,0.02051972529757818,0.03418728757399728,0.6002150727273667
0.0146,0.0309,0.02053908714310241,0.03417684660937107,0.6009649567105096
0.0146,0.0373,0.02056180206485147,0.03416387176437524,0.6018580741276671
0.0146,0.045,0.02058885491651086,0.03414815546180664,0.6029272925016018
0.0146,0.0543,0.02062103095952473,0.03412914006408988,0.6042059929081495
0.0146,0.0655,0.02065959843815606,0.03410645305653004,0.6057386971290633
0.0146,0.0791,0.02070582868687829,0.03407950413422956,0.6075742359784305
0.0146,0.0954,0.02076114868956514,0.0340475811400037,0.6097686823682208
0.0146,0.115,0.02082716182848029,0.03400985640204068,0.6123860560384667
0.0146,0.139,0.02090582587085668,0.03396552333437429,0.615501361926588
0.0146,0.168,0.02099933886436269,0.03391372282200877,0.619198870456501
0.0146,0.202,0.02111019465129977,0.03385362683870839,0.6235726160708513
0.0146,0.244,0.02124119955989622,0.03378454049602728,0.6287254243518264
0.0146,0.295,0.02139546310858666,0.03370600895801708,0.6347670273047167
0.0146,0.356,0.02157638361428945,0.03361802204054166,0.6418100264277715
0.0146,0.429,0.02178762216744037,0.03352126264353842,0.6499642450562694
0.0146,0.518,0.02203305481085487,0.03341743905254282,0.6593280465391713
0.0146,0.625,0.0223167333766642,0.03330969799990417,0.6699770552326354
0.0146,0.754,0.02264285344997096,0.03320311033395423,0.6819497698327343
0.0146,0.91,0.02301573521787484,0.03310515786383623,0.6952310969952211
0.0146,1.1,0.02345128432376456,0.03304976385343638,0.7095749436444519
0.0146,1.33,0.02393167180171197,0.03300250439423834,0.7251471438600889
0.0146,1.6,0.02446150210030791,0.0329819723462261,0.7416628042593963
0.0146,1.93,0.02508344644166461,0.03307578461724883,0.7583628546360695
0.0146,2.33,0.02575547134134002,0.03321450764047304,0.7754283646208886
0.0146,2.81,0.02653919461503174,0.03351200487417395,0.7919309726373364
0.0146,3.39,0.02739125624853416,0.03389845718393249,0.8080384337230936
0.0146,4.09,0.02836769401172142,0.03446453251117203,0.8230981807899395
0.0146,4.94,0.02948749964688349,0.03523199700544818,0.8369522636574822
0.0146,5.96,0.03071411067274533,0.03613816670099766,0.8499078253434869
0.0146,7.2,0.0321150926289036,0.037272249337264,0.8616354848430254
0.0146,8.69,0.03370989777657841,0.03864807085014666,0.8722271780986058
0.0146,10.5,0.03546107356403379,0.04020297817367247,0.8820509120206427
0.0146,12.6,0.03736277002961301,0.04192135047101422,0.8912587407089102
